"","levels.dat.bites.species.","cat"
"1","",NA
"2"," ",NA
"3","Acanthurus dussumieri",NA
"4","Acanthurus nigrofuscus",NA
"5","Cirripectes sp.",NA
"6","Ctenochaetis striatus",NA
"7","Ctenochaetus striatus",NA
"8","Dischistodus pseudochrysopoecilus",NA
"9","Dischodotus ",NA
"10","Ecsenius aequalis",NA
"11","Ecsenius bicolor",NA
"12","Ecsenius stictus",NA
"13","Ecsenius yaeyamaensis",NA
"14","Pomacentrus australis",NA
"15","Pomacentrus chrysurus",NA
"16","Pomacentrus milleri",NA
"17","Pomacentrus moluccensis",NA
"18","Pomacentrus wardi",NA
"19","Salarias alboguttatus",NA
"20","Salarias fasciatus",NA
"21","Scarus flavipectoralis",NA
"22","Scarus schlegeli",NA
"23","Stegastes apicalis",NA
"24","Stegastes nigricans",NA
"25","Zebrasoma scopas",NA
